Estandar;grado;periodo;id_materia oficial;nombre_dba;Evidencia de aprendizaje;Eje tematico
"Analiza cómo diferentes culturas producen; transforman y distribuyen recursos; bienes y servicios de acuerdo con las características físicas de su entorno.";6;3;3;"•	DBA 1. Comprende que existen diversas explicaciones y teorías sobre el origen del universo en nuestra búsqueda por entender que hacemos parte de un mundo más amplio.
•	DBA 2. Comprende que la Tierra es un planeta en constante transformación cuyos cambios influyen en las formas del relieve terrestre y en la vida de las comunidades que la habitan";"·      Interpreta diferentes teorías científicas sobre el origen del universo (Big Bang; Inflacionaria; multiuniversos; entre otras); que le permiten reconocer como surgimos; cuando y porqué.";"•	El Universo
•	El sistema Solar
•	Los cuerpos celestes
•	La vía láctea
•	La Tierra
•	El geosistema y sus elementos
•	Relieve continental
•	La hidrografía de la Tierra"
Reconoce y analiza la interacción permanente entre el espacio geográfico y el ser humano y evalúa críticamente los avances y limitaciones de esta relación.;9;3;3;"•	DBA 1. Analiza la situación ambiental de los geo sistemas más biodiversos de Colombia (selvas; paramos; arrecifes coralinos) y las problemáticas que enfrentan actualmente debido a la explotación a que han sido sometidos.
•	DBA 3. Analiza las crisis económicas dadas en la Colombia contemporánea y sus repercusiones en la vida cotidiana de la personas.";"•	Explica las consecuencias para la biodiversidad colombiana acciones como la ampliación de la frontera agrícola; el turismo desmedido y la explotación minera.
•	Explica las consecuencias sociales de las crisis económicas en la vida diaria de las personas (desempleo; impuestos; canasta familiar; poder adquisitivo).";"•	Los sectores económicos
•	Geografía económica
•	Problemáticas actuales de Colombia"
"Identifica y toma posición frente a las principales causas y consecuencias políticas; económicas; sociales y ambientales de la aplicación de las diferentes teorías y modelos económicos en el siglo XX y formula hipótesis que me permitan explicar la situación de Colombia en este contexto.";10;3;2;"•	DBA 1. Analiza conflictos que se presentan en el territorio colombiano originados por la degradación ambiental; el escaso desarrollo económico y la inestabilidad política.";"•	Diferencia los diversos tipos de contaminación que se presentan en el mundo y sugiere acciones orientadas hacia la sostenibilidad ambiental y la conciencia ecológica en la ciudadanía.
•	Explica la disponibilidad y el uso del recurso hídrico en las diferentes regiones colombianas y los conflictos que se presentan en torno a este.";"•	Deterioro ambiental 
•	Sostenibilidad
•	La globalización"
Aplica los principios de organización empresarial;6;3;9;"•	Conoce; aplica y resalta los principios y estrategias de manejo; organización y estructuración empresarial";"•	Conoce los procedimientos básicos para empezar un proyecto empresarial.
•	Entiende los elementos de la administración de empresas
•	Cultiva sus cualidades para ser un buen emprendedor.
•	Valora su actitud emprendedora en su proyecto de vida.
•	Conoce actuales propuestas ambientales de aprovechamiento de residuos";"•	Emprendedor
•	Comercio y comerciante
•	Elemento de la administración de empresas
•	Administración de empresas"
Aplica los principios de organización empresarial;9;3;9;"•	Conoce; aplica y resalta los principios y estrategias de manejo; organización y estructuración empresarial.
•	Reconoce las tendencias emprendedoras del entorno";"•	Identifica las tendencias de emprendimiento de la localidad.
•	Reflexiona sobre la eficiencia de la tendencias de emprendimiento de la localidad
•	Identifica los agentes contaminantes de la localidad
•	Propone creativamente planes de contingencia para evitar riesgos";
"•	Reconoce mi potencial biológico y psíquico para realizar tareas motrices.
•	Mantiene vigentes sus habilidades motrices que me permiten explorar y adaptarse al medio

•	Incrementa mis capacidades físicas en un contexto de respeto y valoración de la vida y el cuerpo humano";6;3;4;"•	identifica algunas consecuencias ambientales en mi salud derivadas del mal uso que le damos  a las basuras cuando estamos en un campo de juego.
•	Participa en equipos de trabajo para desarrollar distintas actividades que le permitan darse cuenta cuáles son sus capacidades físicas";"•	Identifico medios para valorar y mi estado físico
•	Reconozco distintos métodos para valorar mi estado físico
•	Reconozco las ventajas y beneficios del calentamiento
•	Clasifico los deportes de acuerdo a características o recursos para mi desarrollo
•	Domino los conceptos sobre capacidades físicas";"•	Medición y evaluación diagnóstica
•	Test psicomotores
•	Concepto y finalidad del calentamiento
•	Capacidades físicas básicas
•	Deportes individuales; atletismo ajedrez; natación;"
"•	Recupera; conserva y mejora el ambiente como escenario propicio para la práctica de actividad física.
•	Reconoce las diferencias individuales y el carácter único de cada persona y se integra con facilidad a través de actividades lúdicas y/o deportivas.
•	Realiza de manera sistemática ejercicio físico para el mejoramiento de las funciones orgánicas y corporales.
•	Participa en la creación de normas de juego y las tengo en cuenta para las actividades programadas en clase.";9;3;4;"•	Reconoce la importancia de un ambiente limpio y seguro para la práctica de actividad física y participa activamente en su conservación.
•	Implementa prácticas de reciclaje y reducción de residuos en el entorno escolar y comunitario para mantener un espacio propicio para la actividad física.";"•	Reconoce los movimientos articulares que se realizan en el cuerpo humano.
•	Diferencia los test que permiten evaluar cada una de las capacidades físicas.
•	Identifica fundamentos básicos de la condición física para aplicarlos en el entrenamiento.
•	Identifica factores y características colectivas determinantes de los deportes de conjunto.
•	Clasifica los sistemas de eliminación de acuerdo con características de los participantes y del entorno.
•	Reconocer la importancia de mantener los escenarios deportivos y espacios utilizados para realizar actividades físicas limpios preservando su buen estado. ";"•	Movimientos articulares.
•	Test de aptitud física.
•	Fundamentos Básicos de la condición física: Carga y Adaptación"
"*Comparo e interpreto datos provenientes
de diversas fuentes (prensa;
revistas; televisión; experimentos;
Consultas; entrevistas).
*Represento objetos tridimensionales desde diferentes
posiciones y vistas.
• Identifico y describo fi guras y cuerpos generados por cortes
rectos y transversales de objetos tridimensionales";6;3;1;"*Interpreta información estadística presentada en diversas fuentes de información; la analiza y la usa para plantear y resolver preguntas que sean de su interés.
*
Utiliza y explica diferentes estrategias (desarrollo de la forma o plantillas) e instrumentos (regla; compás o software) para la construcción de figuras planas y cuerpos.
*
A partir de la información previamente obtenida en repeticiones de experimentos aleatorios sencillos; compara las frecuencias esperadas con las frecuencias observadas.
*Interpreta información estadística presentada en diversas fuentes de información; la analiza y la usa para plantear y resolver preguntas que sean de su interés.
*";"..
*Lee y extrae la información estadística publicada en diversas fuentes. 
*Plantea una pregunta que le facilite recolectar información que le permita contrastar la información estadística publicada.
*
Construye plantillas para cuerpos geométricos dadas sus medidas. Selecciona las plantillas que genera cada cuerpo a partir del análisis de su forma; sus caras y sus vértices.
*Enumera los posibles resultados de un experimento aleatorio sencillo. 
*Realiza repeticiones del experimento aleatorio sencillo y registra los resultados en tablas y gráficos de frecuencia. 
* y asigna la probabilidad de ocurrencia de un evento dado; teniendo en cuenta el número de veces que ocurre el evento en relación con el número total de veces que realiza el experimento. 
*Compara los resultados obtenidos experimentalmente con las predicciones anticipadas.";"Experimentos aleatorios; *Estudio de graficas estadísticas y de datos.
*geometría plana.
*los útiles de geometría.
*
Polígonos regulares.
*figuras geométricas. (áreas y perímetros). "
"Identifico y utilizo la potenciación; la radicación y la logaritmación
para representar situaciones matemáticas y no
Matemáticas y para resolver problemas.

Identifico relaciones entre propiedades
de las gráficas y propiedades
de las ecuaciones algebraicas.

Identifico y utilizo diferentes maneras
de definir y medir la pendiente
de una curva que representa en el
plano cartesiano situaciones de variación.




• Analizo en representaciones graficas cartesianas los comportamientos
de cambio de funciones específicas pertenecientes a familias de
funciones polinómicas; racionales;
exponenciales y logarítmicas";9;3;1;"Utiliza expresiones numéricas; algebraicas o gráficas para hacer descripciones de situaciones concretas y tomar decisiones con base en su interpretación.

Propone y desarrolla expresiones algebraicas en el conjunto de los números reales y utiliza las propiedades de la igualdad y de orden para determinar el conjunto solución de relaciones entre tales expresiones.


Interpreta el espacio de manera analítica a partir de relaciones geométricas que se establecen en las trayectorias y desplazamientos de los cuerpos en diferentes situaciones";"Opera con formas simbólicas que representan cantidades. 
Reconoce que las letras pueden representar números y cantidades; y que se pueden operar con ellas y sobre ellas. 
Interpreta expresiones numéricas; algebraicas o gráficas y toma decisiones con base en su interpretación.


Identifica y utiliza múltiples representaciones de números reales para realizar transformaciones y comparaciones entre expresiones algebraicas. 
Establece conjeturas al resolver una situación problema; apoyado en propiedades y relaciones entre números reales. 
Determina y describe relaciones al comparar características de gráficas y expresiones algebraicas o funciones.";"Funciones; función lineal; pendiente de una recta; función cuadrática; función de variable real; ecuaciones de rectas lineales; sistemas de ecuaciones 2x2 y 3x3; tipos de graficas de funciones cuadráticas; ceros; raíces o soluciones de una función cuadrática; problemas de aplicación. Función logarítmica y exponencial; representación gráfica de la función logarítmica y exponencial; propiedades de los logaritmos; ecuaciones"
"•	Relaciona el funcionamiento de algunos artefactos; productos; procesos y sistemas tecnológicos con su utilización segura.
•	Propone estrategias para soluciones tecnológicas a problemas en diferentes contextos.
•	Relaciona la transformación de los recursos naturales con el desarrollo tecnológico y su impacto en el bienestar de la sociedad.";6;3;7;"•	Utiliza las tecnologías de la información y la comunicación; para apoyar los procesos de aprendizaje y actividades personales (recolectar; seleccionar; organizar y procesar información).
•	Reconozco y utilizo algunas formas de organización del trabajo para solucionar problemas con la ayuda de la tecnología.
•	Participa en discusiones sobre el uso racional de algunos artefactos tecnológicos";"•	Utiliza eficientemente las ventanas; menús y objetos gráficos de las diferentes aplicaciones y del S.O. Windows.
•	Reconoce y emplea alguno de los accesorios y utilidades del sistema operativo. 
•	Realiza correctamente las operaciones habituales de mantenimiento de ficheros; carpetas y discos (crear; copiar; borrar; cambiar el nombre; mover; etc.)
•	Trabaja simultáneamente con varias aplicaciones e intercambiar información y discuten sobre ellas. (Tiempo libre)";"•	Generali¬dades y aplicacio¬nes de Windows.
	Entrada y salida de Windows.
	El escritorio y sus componentes.
	Las ventanas.
	Menús y cuadros de diálogo.
	El botón inicio y el menú inicio.
	Inicio y salida de aplicaciones.
	Accesorios de Windows (WordPad; Paint; Bloc de notas y Calculadora).
	El portapapeles.
	Impresión de archivos.
	Organización de la información dentro del computador.
	Descripción y ventana principal del Explorador de Windows.
	Creación y borrado de carpetas con el Explorador.
	Copiar; mover; borrar y cambiar nombres a las carpetas y los archivos."
