Estandar;grado;periodo;id_materia oficial;nombre_dba;Evidencia de aprendizaje;Eje tematico
Explica condiciones de cambio y conservación en diversos sistemas teniendo en cuenta transferencia y transporte de energía y su interacción con la materia;6;3;2;·        1. Comprende que el movimiento de un cuerpo, en un marco de referencia inercial dado, se puede describir con gráficos y predecir por medio de expresiones matemáticas.;"•	Describe el movimiento de un cuerpo (rectilíneo uniforme y uniformemente acelerado, en dos dimensiones -circular uniforme y parabólico) en gráficos que relacionan el desplazamiento, la velocidad y la aceleración en función del tiempo.
•	Predice el movimiento de un cuerpo a partir de las expresiones matemáticas con las que se relaciona, según el caso, la distancia recorrida, la velocidad y la aceleración en función del tiempo.
•	Analizar los puntos de reciclaje que se encuentren más cercanos a la institución para predecir distancia, sentido y dirección mediante el uso de los vectores";"•	Herencia
•	El ADN 
•	Transcripción, traducción y sintesis de proteínas 
•	Las leyes de Mendel
•	Fenotipo
•	Genotipo
•	Enfermedades genéticas y mutaciones"
Establece relaciones entre las características macroscópicas y microscópicas de la materia y las propiedades físicas y químicas de las sustancias que la constituyen;7;3;2;·        1. Comprende las formas y las trasformaciones de energía en un sistema mecánico y la manera como, en los casos reales, la energía se disipa en el medio (calor, sonido).;"•	Relaciona las variables velocidad, posición para describir las formas de energía mecánica que tiene un cuerpo en movimiento.
•	Identifica las formas de energía mecánica que tienen lugar en diferentes puntos del movimiento en un sistema mecánico. 
•	Explica como el movimiento de los cuerpos presenta un tipo de energía mecánica y como esta es aprovechable 
para la obtención de electricidad en nuestras viviendas.";"•	Tipos de energía 
•	Energía mecánica
•	Cinemática (caída libre, péndulo, montaña rusa)"
Identifica  conceptos científicos fundamentales y su aplicación en el mundo real.;10;3;6; aplica los principios científicos para analizar fenómenos, resolver problemas y tomar decisiones informadas.;Los estudiantes elaboran modelos, diagramas y gráficos para representar conceptos científicos. *Los estudiantes participan en debates y discusiones científicas para defender sus ideas y evaluar las ideas de los demás;
"•	- Describe, compara y explica de manera oral o escrita concepciones de su imaginario fantástico y de las danzas del pasado y contemporáneas que involucra en sus interpretaciones";6;3;5;"•	Identifica los tipos de danza de las distintas regiones de Colombia, lo mismo que el vestuario y costumbres.
•	Asume una actitud participativa en las diversas actividades grupales ";"•	Interpreta algunos ritmos de folclore colombiano.
•	Elabora vestuario pertinente con los elementos del medio-
•	Demuestra interés, placer, goce y disfrute al observar los aportes lúdicos propios y de los demás.";"•	El ritmo
•	La coreografía "
Desarrolla la sensibilización frente a la importancia y valoración de su cuerpo como principal obra de arte;7;3;5;"•	Desarrolla habilidades comunicativas que implican dominio técnico y tecnológico.
•	Se comunica mediante mensajes corporales particularmente emotivos, de su propia evocación o invención involucrando formas y movimientos de la naturaleza y de la cultura de su comunidad, regional, nacional o universal.
•	Demuestra seguridad en sus propios juicios de valor y sensibilidad hacia el mundo al asumir una actitud crítica frente a éste";"•	Propone y disfruta de actividades grupales que incidan en la calidad de su medio ambiente.
•	Describe, compara y explica de manera oral o escrita concepciones de su imaginario fantástico y de las danzas del pasado y contemporáneas que involucra en sus interpretaciones.
•	Selecciona y transforma materiales y recursos del medio ambiente natural y cultural para realizar propuestas de montaje danzado a diferentes expresiones literarias, plásticas, escénicas, audiovisuales y demás";"•	La fantasía
•	La imaginación 
•	Danza contemporánea"
Desarrolla y expresa sensaciones, sentimientos e ideas a través de metáforas y símbolos dancísticos mediante la expresión corporal.;8;3;5;"•	Manifiesta actitud de goce ante el descubrimiento de sus condiciones de inventiva motriz y danzaría, con su propio cuerpo y en actividades de grupo.
•	Produce pequeñas propuestas de movimientos y danza de diferente índole, en torno al mundo sonoro, musical y plástico que denotan que escucha y observa, que evoca gustoso";"•	disfruta la vivencia de su entorno natural, de la producción dancística y musical de su contexto, de otras culturas y de otras épocas. 
•	Selecciona y transforma materiales y recursos del medio ambiente natural y cultural para realizar propuestas de montaje danzado a diferentes expresiones literarias, plásticas, escénicas, audiovisuales y demás para hacer coreografías sencillas.
•	Manifiesta interés, identifica y maneja los movimientos básicos de las danzas que produce, las danzas de su comunidad y las del entorno en general.";"•	La danza 
•	La coreografía "
"•	Genera apertura al diálogo pedagógico, cambios y generación de actitudes hacia la dinámica expresiva propia y del entorno";9;3;5;"•	Produce pequeñas propuestas de movimientos y danza de diferente índole, en torno al mundo sonoro, musical y plástico que denotan que escucha y observa.
•	Comunica espontáneamente los aportes de la clase de danza a su vida cotidiana y viceversa.
•	Manifiesta actitud de goce ante el descubrimiento de sus condiciones de inventiva motriz y danzaría, con su propio cuerpo y en actividades de grupo.
•	Es consciente de la posición y el movimiento de su cuerpo y del espacio en la cotidianidad y en las expresiones artísticas";"•	Reconoce, discrimina y globaliza diferentes componentes del movimiento y de la danza en función de su propia inventiva.
•	Manifiesta interés, identifica y maneja los movimientos básicos de las danzas que produce, las danzas de su comunidad y las del entorno en general.
•	Participa con la escuela en la elaboración de la historia de las danzas de la comunidad.";"•	Historia de la danza
•	El movimiento en la danza"
·        Utiliza modelos biológicos, físicos y químicos para explicar la transformación y conservación de la energía;10;3;5;"•	2. Comprende la conservación de la energía mecánica como un principio que permite cuantificar y explicar diferentes fenómenos mecánicos";"•	Predice cualitativa y cuantitativamente el movimiento de un cuerpo al hacer uso del principio de conservación de la energía mecánica en diferentes situaciones físicas.

•	Predice el movimiento de un cuerpo a partir de las expresiones matemáticas con las que se relaciona, según el caso, la distancia recorrida, la velocidad y la aceleración en  función del tiempo";"•	Sistemas de referencia
•	Vectores y suma de vectores.
•	Unidades vectoriales y escalares.
•	Movimiento rectilíneo uniforme, uniformemente acelerado
•	Calculo de velocidad, posición, aceleración y tiempo.
•	Movimiento circular uniforme"
"•	Desarrolla sensaciones, sentimientos e ideas a través de metáforas y símbolos dancísticos mediante la expresión corporal";11;3;5;"•	Controla, orienta y ensaya nuevas habilidades corporales que le permitan, con relativa facilidad, la ejecución de pasos y esquemas expresivos.
•	Describe, compara y explica de manera oral o escrita concepciones de su imaginario fantástico y de las danzas del pasado y contemporánea.
•	Manifiesta interés, identifica y maneja los movimientos básicos de las danzas que produce, las danzas de su comunidad y las del entorno en general.";"•	Muestra que conoce y valora su entorno cultural en actividades teóricas o prácticas de índole investigativa a través de consultas.
•	Se involucra gustoso en actividades grupales que acrecientan su aprecio por el patrimonio cultural.
•	Es consciente de la posición y el movimiento de su cuerpo y del espacio en la cotidianidad y en las expresiones artísticas.
•	Produce pequeñas propuestas de movimientos y danza de diferente índole, en torno al mundo sonoro, musical y plástico que denotan que escucha y observa con relación al medio ambiente.";"•	El baile
•	La danza
•	La música
•	El ritmo"
"Utilizo números racionales, en sus distintas expresiones
(fracciones, razones, decimales o porcentajes) para resolver
problemas en contextos de medida.";6;3;1;Interpreta los números enteros y racionales (en sus representaciones de fracción y de decimal) con sus operaciones, en diferentes contextos, al resolver problemas de variación, repartos, particiones, estimaciones, etc. Reconoce y establece diferentes relaciones (de orden y equivalencia y las utiliza para argumentar procedimientos).;"*Resuelve problemas en los que intervienen cantidades positivas y negativas en procesos de comparación, transformación y representación
.*Propone y justifica diferentes estrategias para resolver problemas con números enteros, racionales (en sus representaciones de fracción y de decimal) en contextos escolares y extraescolares. 
Representa en la recta numérica la posición de un número utilizando diferentes estrategias. 
Interpreta y justifica cálculos numéricos al solucionar problemas.";Fracciones positivas y sus aplicaciones ,números decimales y fracciones, números fraccionarios positivos, simplificación de fracciones, operaciones con las fracciones, 
