Estandar;grado;periodo;id_materia oficial;nombre_dba;Evidencia de aprendizaje;Eje tematico
Reconoce y valora la presencia de diversos legados culturales ?de diferentes ‚pocas y regiones? para el desarrollo de la humanidad.};6;4;3;"?	DBA 5. Analiza los legados que las sociedades americanas prehisp nicas dejaron en diversos campos.
?	DBA 8. Comprende que en una sociedad democr tica no es aceptable ninguna forma de discriminaci¢n por origen ‚tnico, creencias religiosas, genero, discapacidad y/o apariencia f¡sica.";"?	Representa y sit£a en un mapa los espacios geogr ficos en que se desarrollaron sociedades prehisp nicas como mayas, aztecas, incas, chibchas u otros grupos ancestrales.
?	Describe los aportes tecnol¢gicos y culturales de las sociedades prehisp nicas como el calendario maya, la arquitectura, los aspectos religiosos, la astronom¡a y las t‚cnicas de cultivo.
?	Reconoce que las personas tenemos derecho a no ser discriminadas, a la luz de la Declaraci¢n Universal de los Derechos Humanos y de la Constituci¢n Nacional de Colombia de 1991.";"?	Los primeros pobladores de Am‚rica
?	Las civilizaciones mesoamericanas
?	Las civilizaciones andinas
?	Los primeros pobladores de Colombia.
"
Analiza cr¡ticamente los elementos constituyentes de la democracia, los derechos de las personas y la identidad en Colombia.;9;4;3;"?	DBA 2. Comprende las consecuencias que han tra¡do los procesos migratorios en la organizaci¢n social y econ¢mica de Colombia en el siglo XX y en la actualidad.
?	DBA 6. Comprende el papel de las mujeres en los cambios sociales, pol¡ticos, econ¢micos y culturales en el mundo y la igualdad de derechos que han adquirido en los £ltimos a¤os.";"?	Relaciona los movimientos de la poblaci¢n del campo a la ciudad, entre ciudades y al interior de la ciudad con los cambios pol¡ticos, ambientales, laborales y sociales dados en el territorio colombiano en las £ltimas d‚cadas.
?	Identifica la participaci¢n de las mujeres en la historia de Colombia en el  mbito pol¡tico, acad‚mico, cultural, industrial y financiero.";"?	El crecimiento urbano
?	Participaci¢n de las mujeres en Colombia
?	Los derechos civiles de la mujer"
Identifica algunas caracter¡sticas culturales y sociales de los procesos de transformaci¢n que se generaron a partir del desarrollo pol¡tico y econ¢mico de Colombia y el mundo a lo largo del siglo XX.;10;4;2;"?	DBA 3. Comprende que existen multitud de culturas y una sola humanidad en el mundo y que entre ellas se presenta la discriminaci¢n y exclusi¢n de algunos grupos, lo cual dificulta el bienestar de todos.";"?	Explica la diversidad cultural y ‚tnica como una caracter¡stica de las sociedades actuales lo cual se constituye en una riqueza para la vida en comunidad.
?	Compara los mecanismos de protecci¢n de DDHH (Conciliaci¢n, acci¢n de tutela, acciones populares, acci¢n de cumplimiento).";"?	Historia de los Derechos Humanos
?	DIH (Derecho Internacional Humanitario)
?	Derechos Humanos en Colombia"
"?	Respeta la legislaci¢n comercial";6;4;9;Conoce, aplica y respeta la legislaci¢n comercial, tributaria y laboral vigente en un contexto empresarial;"?	Comprende cultura emprendedora.
?	Describe la relaci¢n entre contabilidad y econom¡a.
?	Destaca el aporte de la cultura emprendedora el desarrollo individual y social de la comunidad.
?	Entiende c¢mo la toma de decisiones en su vida personal podr¡an influir en un proyecto emprendedor";"?	Historia de los Derechos Humanos
?	DIH (Derecho Internacional Humanitario)
?	Derechos Humanos en Colombia"
"?	Respeta la legislaci¢n comercial";9;4;9;"?	Conoce, aplica y respeta la legislaci¢n comercial, tributaria y laboral vigente en un contexto empresarial";"?	Establece una diferenciaci¢n entre emprendimiento y labor
?	Identifica la labor en las persona de la comunidad 
?	Entiende qu‚ es el IVA y retenci¢n en la fuente
?	Reconoce los impuestos en productos de cuidado personal y corporal.";"?	Labor
?	Emprendimiento
?	Retenci¢n en la fuente
?	IVA
?	Cuidado personal"
"?	Reconoce las diferencias personales y el car cter £nico del ser humano y los respeto
?	Acepta y comprende las limitaciones f¡sicas sensoriales, cognitivas en mis compa¤eros
?	Interact£a motrizmente con mis compa¤eros para el logro de metas colectivas
?	Atiende consejos y cr¡ticas de mis profesores y compa¤eros";6;4;4;"?	Argumenta la importancia del juego la l£dica y la recreaci¢n en la edad escolar.
?	Fortalece sus capacidades f¡sicas a trav‚s de las expresiones art¡sticas y corporales.";"?	Reconoce deporte como elemento socializador

?	Fortalece sus capacidades f¡sicas a trav‚s de las expresiones art¡sticas y corporales.";"?	El juego l£dica y recreaci¢n
?	El deporte
?	Expresiones art¡sticas y corporales"
"?	Realiza de manera sistem tica ejercicio f¡sico para el mejoramiento de mis funciones org nicas y corporales.";9;4;4;"?	Identifica los diferentes h bitos que aportaran a implementar en sus pr cticas deportivas diarias el autocuidado y practicas saludables.";"?	Relaciona y comparo los conceptos de juego, l£dica, recreaci¢n y deporte.
?	Conoce diversos estilos de vida saludable y los aprovecha para su disfrute.";"?	Estilos de vida saludable:"
"*Resuelvo y formulo problemas utilizando propiedades b sicas
de la teor¡a de n£meros, como las de la igualdad, las
de las distintas formas de la desigualdad y las de la adici¢n,
sustracci¢n, multiplicaci¢n, divisi¢n y potenciaci¢n.

*Utilizo n£meros racionales, en sus distintas expresiones
(fracciones, razones, decimales o porcentajes) para resolve
problemas en contextos de medida.";6;4;1;"*Utiliza las propiedades de los n£meros enteros y racionales y las propiedades de sus operaciones para proponer estrategias y procedimientos de c lculo en la soluci¢n de problemas.
*
";Argumenta de diversas maneras la necesidad de establecer relaciones y caracter¡sticas en conjuntos de n£meros (ser par, ser impar, ser primo, ser el doble de, el triple de, la mitad de, etc).;"*Resoluci¢n de problemas con el mcm y el MCD, 
*Decimales y porcentajes, c lculo de porcentajes."
"Conjeturo y verifico propiedades de congruencias y semejanzas
entre fi guras bidimensionales y entre objetos tridimensionales
en la soluci¢n de problemas.
? Reconozco y contrasto propiedades y relaciones geom‚tricas
utilizadas en demostraci¢n de teoremas b sicos (Pit goras
y Tales).
? Aplico y justifi co criterios de congruencias y semejanza
entre tri ngulos en la resoluci¢n y formulaci¢n de problemas.
? Uso representaciones geom‚tricas para resolver y formular
problemas en las matem ticas y en otras disciplinas


Selecciono y uso algunos m‚todos
estad¡sticos adecuados al tipo de
problema, de informaci¢n y al nivel
de la escala en la que esta se representa
(nominal, ordinal, de intervalo
o de raz¢n).
? Comparo resultados de experimentos
aleatorios con los resultados
previstos por un modelo matem tico
probabil¡stico.
? Resuelvo y formulo problemas seleccionando
informaci¢n relevante
en conjuntos de datos provenientes
de fuentes diversas. (prensa, revistas,
televisi¢n, experimentos, consultas,
entrevistas).

? Calculo probabilidad de eventos
simples usando m‚todos diversos
(listados, diagramas de  rbol, t‚cnicas
de conteo).
? Uso conceptos b sicos de probabilidad
(espacio muestral, evento, independencia,
etc.).";9;4;1;"Identifica y utiliza relaciones entre el volumen y la capacidad de algunos cuerpos redondos (cilindro, cono y esfera) con referencia a las situaciones escolares y extraescolares


Utiliza teoremas, propiedades y relaciones geom‚tricas (teorema de Thales y el teorema de Pit goras) para proponer y justificar estrategias de medici¢n y c lculo de longitudes


Conjetura acerca de las regularidades de las formas bidimensionales y tridimensionales y realiza inferencias a partir de los criterios de semejanza, congruencia y teoremas b sicos.


Propone un dise¤o estad¡stico adecuado para resolver una pregunta que indaga por la comparaci¢n sobre las distribuciones de dos grupos de datos, para lo cual usa comprensivamente diagramas de caja, medidas de tendencia central, de variaci¢n y de localizaci¢n.



Encuentra el n£mero de posibles resultados de experimentos aleatorios, con reemplazo y sin reemplazo, usando t‚cnicas de conteo adecuadas, y argumenta la selecci¢n realizada en el contexto de la situaci¢n abordada. Encuentra la probabilidad de eventos aleatorios compuestos";"
??Reconoce regularidades en formas bidimensionales y tridimensionales. ?Explica criterios de semejanza y congruencia a partir del teorema de Thales. ?Compara figuras geom‚tricas y conjetura sobre posibles regularidades. ?Redacta y argumenta procesos llevados a cabo para resolver situaciones de semejanza y congruencia de figuras.


??Estima la capacidad de objetos con superficies redondas. 
??Construye cuerpos redondos usando diferentes estrategias. 
??Compara y representa las relaciones que encuentra de manera experimental entre el volumen y la capacidad de objetos con superficies redondas.
??Explica la pertinencia o no de la soluci¢n de un problema de c lculo de  rea o de volumen, de acuerdo con las condiciones de la situaci¢n.


??Describe y justifica procesos de medici¢n de longitudes.
??Explica propiedades de figuras geom‚tricas que se involucran en los procesos de medici¢n.
??Justifica procedimientos de medici¢n a partir del Teorema de Thales, Teorema de Pit goras y relaciones intra e interfigurales. ??Valida la precisi¢n de instrumentos para medir longitudes. 
??Propone alternativas para estimar y medir con precisi¢n diferentes magnitudes



??Define el m‚todo para recolectar los datos (encuestas, observaci¢n o experimento simple) e identifica la poblaci¢n y el tama¤o de la muestra del estudio. ??Construye diagramas de caja y a partir de los resultados representados en ellos describe y compara la distribuci¢n de un conjunto de datos. 
??Compara las distribuciones de los conjuntos de datos a partir de las medidas de tendencia central, las de variaci¢n y las de localizaci¢n. 
??Elabora conclusiones para responder el problema planteado

??Diferencia experimentos aleatorios realizados con reemplazo, de experimentos aleatorios realizados sin reemplazo. ??Encuentra el n£mero de posibles resultados de un experimento aleatorio, usando m‚todos adecuados (diagramas de  rbol, combinaciones, permutaciones, regla de la multiplicaci¢n, etc.). ??Justifica la elecci¢n de un m‚todo particular de acuerdo al tipo de situaci¢n. ??Encuentra la probabilidad de eventos dados usando raz¢n entre frecuencias
";"Cuerpos geom‚tricos, cuerpos redondos, cilindro, cono, esfera, poliedros, prisma, pir mide, resoluci¢n de problemas, tronco de cono, tronco de pir mide.


Estad¡stica y probabilidad, an lisis de una variable cualitativa, caracterizaci¢n de una variable cualitativa, tabla cruzada o tabla de contingencia, tabla de distribuci¢n de frecuencias, grafica de puntos, histogramas, clases de muestras

"
"?	Relaciona el funcionamiento de algunos artefactos, productos, procesos y sistemas tecnol¢gicos con su utilizaci¢n segura.
?	Propone estrategias para soluciones tecnol¢gicas a problemas en diferentes contextos.
?	Relaciona la transformaci¢n de los recursos naturales con el desarrollo tecnol¢gico y su impacto en el bienestar de la sociedad.";6;4;7;"?	Utiliza las tecnolog¡as de la informaci¢n y la comunicaci¢n, para apoyar los procesos de aprendizaje y actividades personales (recolectar, seleccionar, organizar y procesar informaci¢n).
?	Detecta fallas en artefactos, procesos y sistemas tecnol¢gicos, siguiendo procedimientos de prueba y descarte, y propone estrategias de soluci¢n.
?	Se interesa por las tradiciones y valores de la comunidad y participa en la gesti¢n de iniciativas en favor del medio ambiente, la salud y la cultura (como jornadas de recolecci¢n de materiales reciclables, vacunaci¢n, bazares, festivales, etc.).



?	Utiliza las tecnolog¡as de la informaci¢n y la comunicaci¢n, para apoyar los procesos de aprendizaje y actividades personales (recolectar, seleccionar, organizar y procesar informaci¢n).
?	Asumo y promuevo comportamientos legales relacionados con el uso de los recursos tecnol¢gicos.
?	Analizo el impacto de artefactos, procesos y sistemas tecnol¢gicos en la soluci¢n de problemas y satisfacci¢n de necesidades.";"?	Crea accesos directos diferenciando entre carpetas, archivos, discos y programas en el S.O.
?	Utiliza el panel de control para personalizar el ambiente de trabajo del sistema operativo Windows. 
?	Utiliza las herramientas de Scandisk y desfragmentador de disco para solucionar problemas del sistema operativo.
?	Participa en jornadas de recolecci¢n y separaci¢n de residuos s¢lidos y elementos tecnol¢gicos en desuso. (Prae)";"?	Manteniªmiento y personaliªzaci¢n de Windows.
?	Formatear y copiar un disco.
?	El Scandisk.
?	El Desfragmentador de disco.
?	Informaci¢n del sistema.
?	Liberador de espacio en disco.
?	Papelera de reciclaje.
?	Creaci¢n de accesos directos.
?	Configurar el men£ Inicio y la Barra de tareas.
?	El Panel de Control.
?	Jornada de reciclaje
?	Las redes de computadoras.
?	Descripci¢n y utilidad de las redes.
?	Tipos de redes de acuerdo con las distancias.
?	Topolog¡as de las redes de  rea local.
?	Tipos de conexi¢n.
?	Ventajas y desventajas de una red de computadora.
?	Componentes de una red.
?	Compartir archivos, programas e impresoras en la red."
